,titulos,puntos,fecha,comentarios
0,Jimi Hendrix was a systems engineer (ieee.org),217 points,2026-02-25,84 comments
1,Making MCP cheaper via CLI (kanyilmaz.me),75 points,2026-02-25,42 comments
2,The Om Programming Language (om-language.com),211 points,2026-02-25,39 comments
3,"Bus stop balancing is fast, cheap, and effective (worksinprogress.co)",263 points,2026-02-25,425 comments
4,Windows 11 Notepad to support Markdown (windows.com),136 points,2026-02-25,261 comments
5,Banned in California (bannedincalifornia.org),4 points,2026-02-25,0 comments
6,Show HN: Respectify – A comment moderator that teaches people to argue better (respectify.org),58 points,2026-02-25,88 comments
7,First Website (cern.ch),5 points,2026-02-25,0 comments
8,Large-Scale Online Deanonymization with LLMs (simonlermen.substack.com),162 points,2026-02-24,149 comments
9,Learnings from 4 months of Image-Video VAE experiments (linum.ai),48 points,2026-02-24,8 comments
10,Dissecting the CPU-memory relationship in garbage collection (OpenJDK 26) (norlinder.nu),28 points,2026-02-24,9 comments
11,The First Fully General Computer Action Model (si.inc),84 points,2026-02-23,31 comments
12,"Following 35% growth, solar has passed hydro on US grid (arstechnica.com)",354 points,2026-02-25,285 comments
13,Show HN: I ported Tree-sitter to Go (github.com/odvcencio),162 points,2026-02-25,65 comments
14,Access to a Shared Unix Computer (tilde.club),30 points,2026-02-22,8 comments
15,The Misuses of the University (publicbooks.org),110 points,2026-02-25,79 comments
16,How to fold the Blade Runner origami unicorn (1996) (archive.org),239 points,2026-02-22,34 comments
17,GNU Texmacs (texmacs.org),112 points,2026-02-25,38 comments
18,Trellis AI (YC W24) is hiring deployment lead to accelerate medication access (ycombinator.com),0 points,2026-02-25,0 comments
19,Devirtualization and Static Polymorphism (alvarezrosa.com),29 points,2026-02-25,10 comments
20,Why every automaker is quietly bringing back the inline-six engine (carbuzz.com),16 points,2026-02-22,9 comments
21,Never buy a .online domain (0xsid.com),635 points,2026-02-25,398 comments
22,Claude Code Remote Control (claude.com),464 points,2026-02-25,269 comments
23,Launch HN: TeamOut (YC W22) – AI agent for planning company retreats (teamout.com),35 points,2026-02-25,45 comments
24,New accounts on HN more likely to use em-dashes (marginalia.nu),556 points,2026-02-25,463 comments
25,PA Bench: Evaluating Frontier Models on Multi-Tab Pa Tasks (vibrantlabs.com),9 points,2026-02-25,3 comments
26,Why isn't LA repaving streets? (lapublicpress.org),78 points,2026-02-25,161 comments
27,Text-Based Google Directions (telae.net),45 points,2026-02-21,15 comments
28,Danish government agency to ditch Microsoft software (2025) (therecord.media),705 points,2026-02-25,357 comments
29,US orders diplomats to fight data sovereignty initiatives (reuters.com),410 points,2026-02-25,347 comments
30,ECS Survivors Parts VII – X (ptidej.net),13 points,2026-02-25,5 comments
31,Show HN: Django Control Room – All Your Tools Inside the Django Admin (github.com/yassi),103 points,2026-02-25,49 comments
32,Topological Naming Problem (freecad.org),62 points,2026-02-21,24 comments
33,LLM=True (blog.codemine.be),201 points,2026-02-25,136 comments
34,Show HN: A real-time strategy game that AI agents can play (llmskirmish.com),187 points,2026-02-25,67 comments
35,100M-Row Challenge with PHP (github.com/tempestphp),164 points,2026-02-25,90 comments
36,"Show HN: Clocksimulator.com – A minimalist, distraction-free analog clock (clocksimulator.com)",86 points,2026-02-25,71 comments
37,PL/0 (wikipedia.org),56 points,2026-02-22,15 comments
38,AIs can't stop recommending nuclear strikes in war game simulations (newscientist.com),185 points,2026-02-25,223 comments
39,Scipy.stats. Chatterjeexi (scipy.org),21 points,2026-02-22,2 comments
40,Racket v9.1 (racket-lang.org),132 points,2026-02-25,14 comments
41,Leaked Documents Show Meta Cracking Down on Access to Abortion Information (motherjones.com),41 points,2026-02-25,7 comments
42,RK3588 and RK3576 video decoders support merged in the upstream Linux Kernel (collabora.com),7 points,2026-02-25,0 comments
43,The Appeal and Reality of Recycling LoRAs with Adaptive Merging (arxiv.org),11 points,2026-02-25,1 comment
44,Show HN: Django-xbench – slow endpoint aggregation for Django (github.com/yeongbin05),8 points,2026-02-22,4 comments
45,I pitched a roller coaster to Disneyland at age 10 in 1978 (wordglyph.xyz),541 points,2026-02-24,190 comments
46,Anthropic and the Department of War (thezvi.substack.com),3 points,2026-02-25,0 comments
47,An autopsy of AI-generated 3D slop (aircada.com),19 points,2026-02-25,19 comments
48,Japanese Death Poems (secretorum.life),147 points,2026-02-22,41 comments
49,Attyx – tiny and fast GPU-accelerated terminal emulator written in Zig (github.com/semos-labs),15 points,2026-02-25,12 comments
50,AI bit barns grow climate emergency by turning up the gas (theregister.com),20 points,2026-02-25,0 comments
51,Confusables.txt and NFKC disagree on 31 characters (paultendo.github.io),55 points,2026-02-23,38 comments
52,Jane Street faces claims of insider trading that sped up Terraform's collapse (coindesk.com),10 points,2026-02-25,1 comment
53,Reverse engineering the KakaoTalk app so I can build a Beeper Bridge (jusung.dev),16 points,2026-02-25,4 comments
54,Show HN: Linex – A daily challenge: placing pieces on a board that fights back (playlinex.com),5 points,2026-02-24,2 comments
55,Show HN: Sgai – Goal-driven multi-agent software dev (GOAL.md → working code) (github.com/sandgardenhq),23 points,2026-02-25,14 comments
56,Hoot v0.8 released: new REPL enabling Scheme live coding in the browser (spritely.institute),6 points,2026-02-25,0 comments
57,Half million 'Words with Spaces' missing from dictionaries (linguabase.org),136 points,2026-02-23,233 comments
58,'Probably' doesn't mean the same thing to your AI as it does to you (theconversation.com),7 points,2026-02-25,4 comments
59,The History of a Security Hole (os2museum.com),35 points,2026-02-22,2 comments
60,The 10am Drop: How Jane Street Broke Bitcoin's Price (twitter.com/1914ad),5 points,2026-02-25,3 comments
61,Turing Completeness of GNU find (arxiv.org),124 points,2026-02-25,26 comments
62,Red Hat takes on Docker Desktop with its enterprise Podman Desktop build (thenewstack.io),117 points,2026-02-25,71 comments
63,LibreOffice resumes work on its self-hosted Google Docs alternative (xda-developers.com),51 points,2026-02-25,1 comment
64,Dutch finance minister pledges asset tax rethink after protests (dutchnews.nl),6 points,2026-02-25,1 comment
65,Cl-kawa: Scheme on Java on Common Lisp (github.com/atgreen),86 points,2026-02-22,19 comments
66,Amazon accused of widespread scheme to inflate prices across the economy (thebignewsletter.com),643 points,2026-02-25,261 comments
67,Sandboxes won't save you from OpenClaw (tachyon.so),91 points,2026-02-25,90 comments
68,Debian Removes Free Pascal Compiler / Lazarus IDE (freepascal.org),35 points,2026-02-25,14 comments
69,"I asked Claude for 37,500 random names, and it can't stop saying Marcus (github.com/benjismith)",59 points,2026-02-25,52 comments
70,Show HN: Scheme-langserver – Digest incomplete code with static analysis (github.com/ufo5260987423),50 points,2026-02-24,1 comment
71,"Stripe valued at $159B, 2025 annual letter (stripe.com)",229 points,2026-02-24,238 comments
72,Pi – A minimal terminal coding harness (pi.dev),566 points,2026-02-24,286 comments
73,Anthropic Drops Flagship Safety Pledge (time.com),601 points,2026-02-25,287 comments
74,Nvidia Announces Financial Results for Fourth Quarter and Fiscal 2026 (nvidia.com),6 points,2026-02-25,1 comment
75,Cell Service for the Fairly Paranoid (cape.co),161 points,2026-02-24,173 comments
76,Mercury 2: Fast reasoning LLM powered by diffusion (inceptionlabs.ai),337 points,2026-02-24,122 comments
77,What Happened to Fry's Electronics (dfarq.homeip.net),71 points,2026-02-25,79 comments
78,Respecting maintainer time should be in security policies (sethmlarson.dev),3 points,2026-02-25,0 comments
79,Why the KeePass format should be based on SQLite (mketab.org),142 points,2026-02-24,104 comments
80,"Tuna: A new, modern, modal launcher for macOS (tunaformac.com)",76 points,2026-02-25,30 comments
81,Galaxy S26 Ultra's Privacy Display (9to5google.com),5 points,2026-02-25,0 comments
82,Hetzner Prices increase 30-40% (hetzner.com),528 points,2026-02-23,614 comments
83,One Hack Nearly Took Down the Internet (Veritasium) [video] (youtube.com),5 points,2026-02-25,2 comments
84,Show HN: Moonshine Open-Weights STT models – higher accuracy than WhisperLargev3 (github.com/moonshine-ai),308 points,2026-02-24,74 comments
85,The Pentagon threatens Anthropic (astralcodexten.com),156 points,2026-02-25,107 comments
86,Aesthetics of single threading (ta.fo),108 points,2026-02-21,35 comments
87,Hacker used Anthropic's Claude chatbot to attack government agencies in Mexico (engadget.com),16 points,2026-02-25,1 comment
88,Optophone (wikipedia.org),85 points,2026-02-20,15 comments
89,"Engineering heat-tolerant, high-yield rice for a warming planet (phys.org)",4 points,2026-02-25,0 comments
