,Titulos,Puntos,Fecha,Comentarios
0,I'm helping my dog vibe code games (calebleak.com),306 points,2026-02-24,101 comments
1,I pitched a roller coaster to Disneyland at age 10 in 1978 (wordglyph.xyz),322 points,2026-02-24,112 comments
2,HuggingFace Agent Skills (github.com/huggingface),50 points,2026-02-24,10 comments
3,Nearby Glasses (github.com/yjeanrenaud),66 points,2026-02-24,30 comments
4,I think WebRTC is better than SSH-ing for connecting to Mac terminal from iPhone (macky.dev),26 points,2026-02-24,18 comments
5,IRS Tactics Against Meta Open a New Front in the Corporate Tax Fight (nytimes.com),147 points,2026-02-24,167 comments
6,Open Letter to Google on Mandatory Developer Registration for App Distribution (keepandroidopen.org),233 points,2026-02-24,144 comments
7,Hacking an old Kindle to display bus arrival times (mariannefeng.com),5 points,2026-02-24,0 comments
8,Steel Bank Common Lisp (sbcl.org),56 points,2026-02-24,12 comments
9,We installed a single turnstile to feel secure (idiallo.com),186 points,2026-02-22,77 comments
10,Extending C with Prolog (1994) (amzi.com),44 points,2026-02-22,17 comments
11,"Diode – Build, program, and simulate hardware (withdiode.com)",396 points,2026-02-20,89 comments
12,Verge (YC S15) Is Hiring a Director of Computational Biology and AI Scientists/Eng (ashbyhq.com),0 puntos,2026-02-24,0 comments
13,Show HN: Chaos Monkey but for Audio Video Testing (WebRTC and UDP) (github.com/mdsadiqmd),8 points,2026-02-23,0 comments
14,Samsung Upcycle Promise (xda-developers.com),146 points,2026-02-23,84 comments
15,Osaka: Kansai Airport proud to have never lost single piece of luggage (2024) (yomiuri.co.jp),162 points,2026-02-24,61 comments
16,Show HN: Emdash – Open-source agentic development environment (github.com/generalaction),28 points,2026-02-24,11 comments
17,Tesla registrations crash 17% in Europe as BEV market surges 14% (electrek.co),152 points,2026-02-24,125 comments
18,"OpenAI, the US government and Persona built an identity surveillance machine (vmfunc.re)",273 points,2026-02-24,85 comments
19,IDF killed Gaza aid workers at point blank range in 2025 massacre: Report (dropsitenews.com),486 points,2026-02-24,88 comments
20,λProlog: Logic programming in higher-order logic (polytechnique.fr),121 points,2026-02-20,35 comments
21,"Goodbye InnerHTML, Hello SetHTML: Stronger XSS Protection in Firefox 148 (hacks.mozilla.org)",288 points,2026-02-24,127 comments
22,The Missing Semester of Your CS Education – Revised for 2026 (csail.mit.edu),333 points,2026-02-23,94 comments
23,"Terence Tao, at 8 years old (1984) [pdf] (gwern.net)",451 points,2026-02-23,273 comments
24,"Denver dumps Flock, awards contract to Axon (9news.com)",61 points,2026-02-24,26 comments
25,A distributed queue in a single JSON file on object storage (turbopuffer.com),138 points,2026-02-21,48 comments
26,"OpenAI resets spending expectations, from $1.4T to $600B (cnbc.com)",89 points,2026-02-24,64 comments
27,"Discord cuts ties with identity verification software, Persona (fortune.com)",364 points,2026-02-24,255 comments
28,"Stripe valued at $159B, 2025 annual letter (stripe.com)",145 points,2026-02-24,156 comments
29,Cardiorespiratory fitness is associated with lower anger and anxiety (elsevier.com),67 points,2026-02-24,63 comments
30,"Stripe valued at $159B, 2025 annual letter (stripe.com)",145 points,2026-02-24,157 comments
31,Unsung heroes: Flickr's URLs scheme (aresluna.org),247 points,2026-02-21,84 comments
32,Show HN: X86CSS – An x86 CPU emulator written in CSS (lyra.horse),246 points,2026-02-24,81 comments
33,Making Wolfram tech available as a foundation tool for LLM systems (stephenwolfram.com),293 points,2026-02-23,160 comments
34,Show HN: enveil – hide your .env secrets from prAIng eyes (github.com/greatscott),183 points,2026-02-24,117 comments
35,Russian soldiers tell BBC they saw fellow troops executed on commanders' orders (bbc.com),55 points,2026-02-24,8 comments
36,"Show HN: Steerling-8B, a language model that can explain any token it generates (guidelabs.ai)",307 points,2026-02-24,87 comments
37,"Blood test boosts Alzheimer's diagnosis accuracy to 94.5%, clinical study shows (medicalxpress.com)",411 points,2026-02-24,159 comments
38,Tiny QR code achieved using electron microscope technology (newatlas.com),33 points,2026-02-21,25 comments
39,Hetzner Prices increase 30-40% (hetzner.com),450 points,2026-02-23,589 comments
40,1Password Raising Prices ~33%,37 points,2026-02-24,8 comments
41,My lobster lost $450k this weekend (pashpashpash.substack.com),17 points,2026-02-24,7 comments
42,Discord delay global rollout of age verification to improve transparency (gamingonlinux.com),5 points,2026-02-24,1 comment
43,ATAboy is a USB adapter for legacy CHS only style IDE (PATA) drives (github.com/redrum0381),55 points,2026-02-21,35 comments
44,Writing code is cheap now (simonwillison.net),330 points,2026-02-23,419 comments
45,"UNIX99, a UNIX-like OS for the TI-99/4A (2025) (atariage.com)",201 points,2026-02-23,64 comments
46,Why the KeePass format should be based on SQLite (mketab.org),52 points,2026-02-24,40 comments
47,Time to Move On – The Reason Relationships End (steveblank.com),6 points,2026-02-24,0 comments
48,Free Font: Times New Resistance (abbyhaddican.com),8 points,2026-02-24,1 comment
49,Decimal-Java is a library to convert java.math.BigDecimal to and from IEEE-754r (github.com/firebirdsql),34 points,2026-02-24,14 comments
50,Firefox 148 Launches with AI Kill Switch Feature and More Enhancements (serverhost.com),435 points,2026-02-24,364 comments
51,So You Want to Cure Your Own Disease – Using AI to Take Agency over Your Health (andrewjrod.substack.com),8 points,2026-02-24,0 comments
52,Show HN: Ghist – Task management that lives in your repo (github.com/unnecessary-special-projects),8 points,2026-02-24,0 comments
53,An AI doomsday report shook US markets (theguardian.com),39 points,2026-02-24,8 comments
54,"Ladybird adopts Rust, with help from AI (ladybird.org)",1236 points,2026-02-23,692 comments
55,What it means that Ubuntu is using Rust (smallcultfollowing.com),178 points,2026-02-23,257 comments
56,"Scientists crack the case of ""screeching"" Scotch tape (arstechnica.com)",15 points,2026-02-24,2 comments
57,"Intel XeSS 3: expanded support for Core Ultra/Core Ultra 2 and Arc A, B series (intel.com)",59 points,2026-02-24,44 comments
58,Teen social media ban group funded and co-staffed by firm making gambling ads (2025) (crikey.com.au),32 points,2026-02-24,3 comments
59,Graph Topology and Battle Royale Mechanics (lukesalamone.com),41 points,2026-02-21,3 comments
60,"Catherine of Braganza, the Queen Who Brought Tea to England (thecollector.com)",19 points,2026-02-21,11 comments
61,Genetic underpinnings of chills from art and music (plos.org),65 points,2026-02-23,31 comments
62,Influencers are promoting peptides for better health. What does the science say? (npr.org),3 points,2026-02-24,1 comment
63,The Age Verification Trap: Verifying age undermines everyone's data protection (ieee.org),1627 points,2026-02-23,1253 comments
64,Show HN: Cellarium: A Playground for Cellular Automata (github.com/andrewosh),38 points,2026-02-21,1 comment
65,Show HN: Babyshark – Wireshark made easy (terminal UI for PCAPs) (github.com/vignesh07),135 points,2026-02-23,46 comments
66,Myelin repair promoted by clemastine fumarate in nonhuman primate model (pnas.org),6 points,2026-02-24,2 comments
67,"FreeBSD doesn't have Wi-Fi driver for my old MacBook, so AI built one for me (vladimir.varank.in)",413 points,2026-02-23,333 comments
68,Typed Assembly Language (2000) (cornell.edu),50 points,2026-02-21,30 comments
69,"‘Viking’ was a job, not a matter of heredity: ancient DNA study (2020) (science.org)",170 points,2026-02-21,179 comments
70,"Show HN: Sowbot – Open-hardware agricultural robot (ROS2, RTK GPS) (sowbot.co.uk)",173 points,2026-02-23,46 comments
71,“Car Wash” test with 53 models (opper.ai),355 points,2026-02-23,422 comments
72,The US Had a Big Battery Boom Last Year (wired.com),22 points,2026-02-24,9 comments
73,No Good Engineer Is Arrogant (agilitza.com),20 points,2026-02-24,9 comments
74,"I built Timeframe, our family e-paper dashboard (hawksley.org)",1584 points,2026-02-22,363 comments
75,Mercury 2: Diffusion Reasoning Model (inceptionlabs.ai),11 points,2026-02-24,4 comments
76,Hegseth gives Anthropic until Friday to back down on AI safeguards (axios.com),30 points,2026-02-24,5 comments
77,The challenges of porting Shufflepuck Cafe to the 8 bits Apple II (colino.net),82 points,2026-02-23,16 comments
78,The peculiar case of Japanese web design (2022) (sabrinas.space),255 points,2026-02-23,115 comments
79,Shatner is making an album with 35 metal icons (guitarworld.com),207 points,2026-02-24,103 comments
80,Show HN: AI Timeline – 171 LLMs from Transformer (2017) to GPT-5.3 (2026) (llm-timeline.com),167 points,2026-02-23,59 comments
81,Package Managers à la Carte: a formal model of dependency resolution (arxiv.org),4 points,2026-02-24,0 comments
82,Warm Oceans Turned a 3-Inch Forecast into a Record NYC Blizzard (umbrellatoday.app),42 points,2026-02-23,26 comments
83,Elsevier shuts down its finance journal citation cartel (chrisbrunet.com),550 points,2026-02-23,103 comments
84,"""Just a little detail that wouldn't sell anything"" (aresluna.org)",26 points,2026-02-24,4 comments
85,ASML unveils EUV light source advance that could yield 50% more chips by 2030 (reuters.com),358 points,2026-02-23,104 comments
86,"femtolisp: A lightweight, robust, scheme-like Lisp implementation (github.com/jeffbezanson)",141 points,2026-02-23,16 comments
87,Show HN: PgDog – Scale Postgres without changing the app (github.com/pgdogdev),312 points,2026-02-23,57 comments
88,A simple web we own (rsdoiel.github.io),298 points,2026-02-23,223 comments
89,Iowa farmers are leading the fight for repair (ifixit.com),168 points,2026-02-24,44 comments
